joke,total_votes,positive_votes,negative_votes
"Я Вам сейчас очень просто объясню, почему дома подорожали к зарплате -бензин тут ни при чем. Допустим, мы - я, Вы и Хроноскопист летели насамолете через Тихий океан. В пути мы втроем накушались абсента,надебоширили, отломали дверь от туалета, и нас за это выкинули в моречерез аварийный выход. По счастью, рядом с местом нашего паденияобнаружился маленький безымянный полинезийский остров. Выбравшись наберег, мы посовещались, и решили считать его новым государством подназванием Соединенные Штаты Абсента (США).Когда нас выкидывали из самолета, то багажа нам, естественно, не выдали.Поэтому, всех материальных и нематериальных активов у нас - толькотуалетная дверь, которую Вы таки прихватили с собой. И вообще, несмотряна абсент, Вы у нас оказались самым запасливым - в бумажнике у Вас,совершенно случайно, обнаружилась банкнота в $100. Таким образом, внаших США имеются нефинансовые активы - дверь, и финансовые активы, ониже денежная масса - $100. Это все наши сбережения. Поскольку у насбольше вообще ничего нет, то можно сказать и так - у нас есть одинматериальный актив - дверь, обеспеченный денежной массой в $100. Т. е.наша дверь стоит $100.Немного протрезвев, мы решаем, что надо как-то обустраиваться. Самыйбыстрый из нас оказался Хроноскопист. Он тут же объявил, что создаетбанк и готов взять в рост имеющиеся у населения денежные сбережения под3% годовых - ну не сидится человеку без дела. Вы отдаете ему $100, и оних записывает в блокнот в статью ""Пассивы -> Дипазиты"". Но я тоже нелаптем щи хлебал - зря я что ли столько времени занимаюсь расследованиемэкономического мухлежа - я знаю как изъять у Вас и дверь и $100. Япредлагаю Вам взять Ваши $100 в рост под 5% годовых. Вырываю листик изсвоего блокнота и пишу на нем - ""Аблегиция на $100 под 5% годовых"". Вычувствуете, что Вам поперло. Забираете деньги у расстроенногоХроноскописта с дипазита и отдаете их мне в обмен на мою аблегацию.Я беру Ваши $100 и кладу их на дипозит в банк обратно обрадованногоХроноскописта.По хорошему, на этом можно было бы и успокоиться и пойти всем занятьсяделом - пальму потрясти или за моллюсками понырять, снискать себе хлебнасущный, так сказать. Но Вы ж знаете - я неуемный финансовый гений,такие пустяки как кокосы и устрицы меня не интересуют. Помыкавшись понашему острову - 50 шагов от южного побережья до северного, и 30 сзапада на восток, я придумываю гениальную комбинацию. Я подхожу к Вам ипредлагаю на пустом месте заработать еще 1% годовых. Взять в банкеХроноскописта кредит под 4%, и купить у меня еще одну аблигацию под 5%.Вторую аблегацию на $100 я тут же выписываю на блокнотном листике, имашу ею у Вас перед носом. Недолго думая, Вы бежите в банк и беретекредит $100 под залог моей первой аблегации на $100. Они там есть - я ихтуда положил на дипазит. Вы отдаете мне заемные $100 и прячете вторуюаблегацию к себе в бумажник - теперь у Вас есть моих аблегаций на $200.А $100 я кладу в банк - теперь у меня там $200 на дипазите. Хроноскопистаж подпрыгивает от радости - кредитный бизнес попер.Думаете я на этом остановлюсь? Ага, сейчас - я уже выписал Вам третьюаблегацию. Бегом в банк за кредитом под залог второй аблегации. Ближе квечеру, набегавшись по острову с этой сотней баксов и изодрав вселисточки из блокнота на аблегации, мы имеем следующую картину. У Вас на$5000 моих аблегаций, а у меня на $5000 дипазитов в банке. Теперь, ячувствую, что пришло время прибрать Вашу дверь к рукам. Я предлагаюкупить ее у Вас за $100. Но Вы вредничаете - дверь-то всего одна, изаламываете цену в $1000. Ну, $1000 так $1000 - в конце концов у меня надепозите лежит целых $5000. Я на последнем блокнотном листочке направляюплатежное поручение Хроноскописту, перевести $1000 с моего дипазита наВаш, и забираю Вашу дверь.Если нашу бухгалтерию отдать американскому экономисту с гарвардскимдипломом, он сообщит нам, что наши США располагают $1000 материальныхактивов в виде двери, и $10000 финансовых активов в виде аблегаций идипазитов. Т. е. что стоимость нашего совокупного имущества увеличиласьза день в 110 раз.Менее тонкий и образованный человек сказал бы, что мы - три дебила, унас как была одна дверь и $100, так и осталось, и что только конченныедебилы могли целый день рвать листочки из блокнота, вместо того, чтобынарвать кокосов. Кто из них прав - решайте сами. Но механизмотносительного роста цен на дома именно такой, что в США, что в Японии,что в России.",2531.0,2168.0,363.0
"Случай в магазине.- У вас водка есть?- А 18 есть?- А лицензия есть?- Ну, на. Что завелся-то сразу...",1003.0,876.0,127.0
"Слыхал, вчера после матча Дэвид Бэкхем, раздавая автографы, случайноподписал контракт с ярославским Шинником...",1574.0,1444.0,130.0
"Сидит мужик ночью и тихонько порносайты смотрит, думает, что жена спит.Ну сидит и картинки скролит. А жена по нужде проснулась, и потихонькувстала за спиной - смотрит.Вдруг мужик слышит:- А ну-ка... пролистай на картинку вверх... Еще на одну... еще... Вот!Такие шторы на кухню хочу!!",1435.0,1300.0,135.0
На дорогах города появится новый знак нод названием Джокер. Джокер можетбыть любым знаком по желанию ГИБДДшника...Команда КВН Парма,1823.0,1610.0,213.0
"На детских кубиках буквы ""Х"", ""У"", и ""Й"" находятся всегда на одномкубике. На всякий случай.",2525.0,2306.0,219.0
- Вчеpа пеpешел на зимнюю pезинy. С шипами. Рекомендyю.Пpодают в аптеке за yглом...,1018.0,723.0,295.0
"Чему нас учит ГолливудХакеру на заметку: Для того, чтобы взломать некий сайт, необходимоналовчиться барабанить по клавишам со скоростью 900 символов в минуту,и тогда вы гарантированно подберете пароль хоть к Министерству ОбороныСША за 30 секунд.Наемнику на заметку: Действуйте всегда в одиночку, чтобы не делитьденьги. Прежде всего намажьте лицо сажей или на худой конец гуталином.Возьмите себе либо один пистолет, либо уж обвешайтесь амуницией с ног доголовы. В первом случае подкрадывайтесь к врагам сделав наглую морду, вовтором просто стрельните по воротам из гранатомета, потом строчите изпулемета, винтовки и т.д., в итоге придется, конечно, поработать иножом.Участникам боев без правил: Заблаговременно позаботьтесь о том, чтобываш противник до этого поколотил как следует вашего лучшего друга, повозможности отправил его в больницу, идеально если убил. Тогда в тяжелыймомент просто вспомните об этом, и вы порвете его как тузик тряпку.Саперу: Прежде всего заведите себе жилетку со всякими инструментами,пользоваться не обязательно, но выглядит отлично. Не спешите резатькакие-либо провода, если вы поторопитесь, то время побежит быстрее ипридется резать еще один проводок. Где-то за 1-3 секунды до взрыва бомбырежьте любой провод и все будет в порядке. Часы, как правило, закрепленыпрямо на бомбе, такие красные электронные.Начинающему бандиту: Прежде всего приобретите максимально наглый вид.Затем научитесь молоть некую малопонятную чушь в большом количестве,наденьте черный костюм и дело в шляпе.Уроки индийского кино:Прежде всего, кем бы вы ни работали, пойте везде и всюду, по любомуповоду, недурно еще периодически пускаться в пляс.Советы гонконгских мастеров:Бандитам и полицейским: Никогда не берите с собой на разборки маленькиеавтоматики, из них еще никого не убивали. Лучше всего сразу поколотитьсвоих противников руками и ногами.",1669.0,1316.0,353.0
"КОРОТКАЯ СКАЗКА С ЛОГИЧНЫМ КОНЦОМОдна фирма (неважно, какая) стала продавать свою продукцию(неважно, какую) по двойной цене - для дураков и для умных.Так на ценнике и значилось: для дураков - столько-то, дляумных - в два раза дороже. И все покупали по более высокойцене. Дураки.",1389.0,1174.0,215.0
"Гадание на таpакане.~~~~~Поймайте на кyхне таpакана и внимательно пpисмотpитесь к немy.Если таpакан бодpый и здоpовый, значит y вас дома все в поpядке.Если таpакан квелый - займитесь своей женой, она плохо вас коpмит.Если таpакан стpого чеpного цвета - вас ждет повышение по слyжбе.Если таpакан pыжий - в вас влюблена блондинка.Если таpакан зеленый - это к большим деньгам в валюте.Если таpакан все вpемя шевелит yсами - вы человек энеpгичный, подвижный,не можете сидеть без дела.Если таpакан замеp - вы философ.Если таpакан имеет yдивленный вид - окpyжающие вас мало ценят.Если таpакан испyган - вы человек, yмеющий настоять на своем.Если таpакан яpко синий, pогатый и говоpит человеческим голосом -поздpавляем, y вас белая гоpячка.Тепеpь измеpьте таpакана.Если длина таpакана меньше 1 см - на вас можно положитьсяв семейной жизни.Если длина таpакана больше 3 см - вы человек ищyщий.Если pазмах усов таpакана равен длине вашего носа - вы человеклюбознательный.Если один yс таpакана заметно коpоче втоpого - вы еще не pеализовалисвои возможности.Если сyммаpная длина yсов таpакана равна длине его тела, yмноженной накоpень квадратный диаметpа его бpюха и деленной на логаpифм количестваего ног - вы скpyпyлезный и дотошный человек.Если ноги таpакана pавномеpно pаспpеделены по всемy его телy - вам надона всякий слyчай показаться психиатpy.Если же длина таpакана равна его шиpине - значит, это клоп.Отпyстите таpакана.Если он побежит пpямо - y вас все еще впеpеди.Если он побежит налево - вас ждет волнyющая встpеча.Если он побежит напpаво - займитесь слyжбой: вас подсиживают.Если он побежит обpатно к вам - о, вы интеpесный человек.Если он вообще не побежит - он сдох.",2688.0,2095.0,593.0
"- Боюсь, что я теряю свою жену, - жалуется мужик психотерапевту.- Она избегает вас? - спрашивает тот.- Нет, совершенно нет, - отвечает мужик, - она встречает меня возледвери, когда я прихожу домой. Мои рубашки всегда тщательновыглажены, она прекрасно готовит, дом всегда чист. Она дажеразрешает мне смотреть все мои программы по телеку и никогда неотказывается от моих извращенных секс-потребностей.- Так в чем же проблема?!!!- Возможно я слишком чувствителен, - говорит мужик, - но вечером,когда я ложусь спать и жена уверена, что я заснул, она частошепчет мне на ухо: - Боже, когда же ты наконец сдохнешь!",1891.0,1774.0,117.0
"Купила благочестивая еврейка попугая, принесла его домой и слышит:- ... Здгаствуйте, меня зовут Сагочка. Я хочу тгахаться.Она, конечно, упала в обморок, а когда пришла в себя, побежала краввину советоваться.- Реббе, я хотела купить благочестивого попугайчика, а чтополучилось? Вы только послушайте.Снимает тряпку с клетки и реббе слышит:- ... Здгаствуйте, меня зовут Сагочка. Я хочу тгахаться.Реббе говорит:- Ты не переживай, иди к моим друзьям, у них есть два благочестивыхпопугайчика, они с утра до вечера молятся Богу - они воспитаюттвою Саррочку.Женщина так и поступила. Пришла к друзьям реббе, рассказала им всюисторию, те принесли клетку со своими попугайчиками. Она сняла тряпкус клетки, и опять:- ... Здгаствуйте, меня зовут Сагочка. Я хочу тгахаться.И тогда один попугай говорит другому:- Сеня, наконец, Господь Бог услышал наши молитвы.",1106.0,1017.0,89.0
"Стоят два мужика, травят анекдоты. Один мужик (1):- Знаешь, чем мент отличается от осла?И тут чувствует у себя на плече чью-то тяжелую руку.Оборачивается - сзади мент (М).(М): - Hу и чем же?(1): - Да ничем!(М): - Hу то-то же!",703.0,646.0,57.0
"Париж. Очередь за бананами. Подходит девушка. ``Почем бананы, мсье?`` -``5 франков за фунт, мадам``. - ``Я мадемуазель`` - ``Но я же вижу, как Выдержите банан, мадам``.",474.0,383.0,91.0
,,,
"Фраза: ""За тобой пришли!"", услышанная в садике, и когда ты работаешь уже главным бухгалтером, - ощущается по-разному.",582.0,549.0,33.0
Есть свидетельство о рождении. Есть свидетельство о смерти. Где свидетельство о жизни?© Михаил Жванецкий,548.0,475.0,73.0
"Нищий одинокий еврей, проживающий в коммунальной квартире со слепой матерью, в своих ежедневных молитвах просит Господа улучшить его жизнь... Наконец, Бог решает удовлетворить его молитвы, исполнив только одно-единственное желание...Еврей говорит:- Спасибо, Господи! Моë единственное желание - чтобы моя мама увидела, как моя жена вешает на шею моей дочери двадцатимиллионное ожерелье в моём шестисотом Мерседесе, припаркованном около бассейна рядом с моим особняком в Беверли Хиллс!На следующее утро:- Сынок, я видела прекрасный сон...",995.0,880.0,115.0
Ничто так не указывает на материальность мысли как эрекция.,659.0,610.0,49.0
"Размер зарплаты главы Газпрома Миллера поневоле наводит на мысль, будто этот титан самолично наполняет все экспортные и внутренние газопроводы продуктом исключительно собственного производства.",879.0,755.0,124.0
"Путин призвал единороссов:2003 год - работать для людей2010 год - не забывать о людях2018 год - не выражать пренебрежение к людямвы здесь2023 год - помнить, что крепостные тоже люди2030 год - не казнить крепостных людей без суда",921.0,753.0,168.0
WADA наконец-то уличило российских футболистов в приеме допинга!! У них в крови обнаружена тормозная жидкость!,765.0,653.0,112.0
,,,
"Когда она красит ногти разными цветами - это игра с оттенками, это интересно и красиво. А когда я хожу в разных носках - я дебил тупой.",1108.0,1026.0,82.0
"— Подсудимый, клянетесь ли вы говорить правду, только правду и ничего, кроме правды?— Клянусь, толстая женщина с усиками.",1130.0,1043.0,87.0
"Запад злобный, коварный, ненавидящий Россию, мстительный, но судя по тому, что наши чиновники держат там семьи, всё-таки добрый в душе.",1190.0,1074.0,116.0
"Утром пришла эсэмэска: ""Абонент снова в сети. Вы можете ему позвонить!"".А всё! Поздно! Я уже протрезвела...",531.0,485.0,46.0
"Дорогая редакция! Ответьте мне, пожалуйста, Дед Мороз всё-таки есть или его нет? А то мама говорит, что есть, а жена смеётся.",774.0,702.0,72.0
"Семён Петрович мог коня на скаку остановить, в горящую избу войти.В общем, вёл себя как баба.",1034.0,928.0,106.0
"Открыл философ бутылку, оттуда вылетает джин:- Я всемогущий джин, ты освободил меня...- Какой же ты всемогущий, если не мог сам из бутылки освободиться?- Я выполню любые 3 желания.- Создай камень, который никто не сможет поднять.- Странное желание. Какое твоё второе желание?- Подними его.- Сдаюсь, я не всемогущий джин. Я пойду обратно в бутылку тренироваться.- Вот. Я ведь правильно говорил, что ты не всемогущий.- Правильно, но бесполезно.",705.0,604.0,101.0
,,,
"- Как вы думаете, Россию можно причислить к развитым странам?- Скорее, к развитым странно...",634.0,507.0,127.0
"— Я вам звоню из Иерусалима, Холмс. Я путешествовал вместе с тещей.И она скоропостижно скончалась.— Мои соболезнования, Ватсон. Я знаю, вы с ней были не в лучшихотношениях, но тем не менее...— Холмс, я хочу спросить вашего совета. Если ее хоронить в Англии,то только за перевоз тела требуют три тысячи фунтов. В то время,как за похороны на месте берут только пятьсот.— Везите ее в Англию. Там, где вы сейчас находитесь, однажды былслучай. Похоронили, а через три дня покойник воскрес. Вам этонужно, Ватсон?",1232.0,966.0,266.0
"Посмотрев на прошлой неделе фильм “Ирония судьбы или С легким паром”,половина россиян инстинктивно отметила Новый Год.",439.0,374.0,65.0
"Самый первый навык, который приходится осваивать новичку в офисе -спать с открытыми глазами.",330.0,253.0,77.0
Алкоголь полезен - миллионы мужчин не могут ошибаться.,575.0,479.0,96.0
"Если муж отвечает жене ""Нет"", значит, вопрос был что-то вроде ""Ты долгоеще будешь пялиться в свой компьютер?"".Если муж отвечает жене ""Как хочешь"", значит, вопрос был что-то вроде ""Непокрасить ли мне голову в синий цвет?"".Если муж отвечает жене ""Да"", значит, наверняка был задан вопрос ""Ты меняслушаешь?!!"".",682.0,542.0,140.0
"Маленький мальчик написал Деду Морозу:""Пришли мне, пожалуйста, братика"".Дед Мороз ответил:""Нет проблем. Пришли мне свою маму"".www.potupa.net",882.0,778.0,104.0
Этот чай был нежно отобран на границе с ТаджикистаномПринцесса ДуриБеседуйте на здоровье,856.0,640.0,216.0
"- Леха, смотри, какая девушка! Бедра - во, грудь - во!- Саня, успокойся, у тебя очки +10!",898.0,663.0,235.0
"Приказ министра обороны по русификации сообщений WINDOWS:Yes - Есть!No  - Никак нет!OK - Так точно!Pause - Можно оправиться и закурить.Stop - Смирно!Continue - Вольно!Abort - Расстрелять!Retry - Кругом!Ignore - Выполнить любой ценой!Login - Стой, кто идет?Password - Предъявите пропуск!Shutdown - Отбой!Access denied - Не положено!Message - РапортException - Нештатная ситуацияА вместо слова WINDOW, приказываю использовать - АМБРАЗУРА.",951.0,738.0,213.0
"Попал мужик в психушку. Приводят его в палату.Ну, там его и спрашивают:- Ты кто?Он им:- Наполеон.Они разочарованно:- Нуууууу, императоров у нас полно!А он им:- Аааааа, я не император! я - пирожное!",1524.0,1268.0,256.0
"Если вы полчаса ломитесь в дверь и вам не открывают, а за дверьюгудение, значит:а) там без вас гудят;б) это трансформаторная будка.",886.0,866.0,20.0
"Бизнесмен из Нью-Йорка едет по делам в Белфаст на две недели.Его жена просит его пообещать ей, что он ни за что не будетвыходить из гостиницы с наступлением темноты. Чтоб, значит,не попасть случайно в какую-нибудь из политических разборокв этой стране. Прошло две недели. Завтра уезжать. Бизнесменрешает хоть раз посмотреть вечерний Белфаст. Только он вышелиз отеля и повернул за угол, как в спину ему ткнулось дуло иголос спросил:- Католик или протестант?Бизнесмен, не долго думая:- Еврей.Голос:- О...ооо...ооооо... я, наверное, самый удачливый араб в этом мире...",211.0,179.0,32.0
"Гуляет мужик по парку и слышит девичий голос:- Е#ать! Е##ать!!!Подошел мужик поближе, видит - на лавочке сидит девушка. Подсел.- Девушка, что вы так кричите?- Да у меня штаны двадцать штук стоят.- Hу и что? У меня - пятьдесят.- Да лавка окрашена.- Е##а-а-ть!!!",318.0,257.0,61.0
"Тренер утешает проигравшего боксера:- Hо в третьем раунде ты своего противника здорово напугал.- Чем это?- Ему показалось, что он тебя убил.",198.0,179.0,19.0
,,,
"Нарния для взрослых.Лезешь за коньяком в шкаф куда-то в глубину, а шкаф всё не кончается; и вдруг - двери, снег, зимний лес, еловые лапы и фонарь. И ты уходишь туда и возвращаешься через годы, грустный, мудрый и справедливый король. А тут и пяти минут не прошло. Гости смотрят на тебя и спрашивают: ""Где коньяк? Принёс?"" Ты рассказываешь им всю историю, гости переглядываются и усмехаются. Им понятно, где коньяк.",638.0,547.0,91.0
"Пожарные оперативно потушили здание налоговой, но только на 13%.",421.0,372.0,49.0
"Госдума приняла закон о расширении прав граждан. Пардон, о расширении прав полиции в отношении граждан. Дума... расширять права граждан... бред какой-то....",574.0,484.0,90.0
"- Внучек, ты что делаешь?- Пишу письмо Деду Морозу, чтобы на Новый год скутер подарил!- Э.... Вроде большой мальчик, в третий класс уже ходишь. А все в чудеса веришь. Ладно. Как допишешь, приходи ко мне, поможешь видеообращение президенту отправить, поликлиника уж полвека у нас не ремонтированная...",759.0,645.0,114.0
"Украина, Украина, Украина. Утюг включаешь, и там Украина.А помните были новости про козла и тигра. Золотое было времечко.",840.0,723.0,117.0
"""Когда мне становится скучно, я беру кредит и дожидаюсь коллекторов"".(Николай Валуев)",741.0,633.0,108.0
"- Але, мне в лоб только что врезался Камаз...- А вы часом, не с того света звоните?- Да нет, с пушки вот стряхнуть не могу, как ни верчу башней. Помогите!",689.0,582.0,107.0
,,,
"Рыбаков оторвало на льдине и понесло в океан. МЧС сбросило им еду, одежду и аппаратуру. Так быстро и недорого создать полярную экспедицию еще никому не удавалось.",888.0,824.0,64.0
Кратко о послании Президента.1. Всем размножаться2. Бизнес не кошмарить3. Сельское хозяйство развивать4. Аллах наш5. Турции пиздец6. Остальным сраться,1449.0,1144.0,305.0
"Я в детстве спала на двухъярусной кровати, причём на втором этаже.Поэтому я совершенно не боялась подкроватных монстров.""Если что, - думала я, - наедятся и сестрой"".",791.0,713.0,78.0
"Раз качество колбасы люди проверяют на котах, производители вынуждены добавлять в нее Вискас.",450.0,419.0,31.0
"Только папы умеют надеть колготки детям так, что бы две полоски были спереди, и при этом пяточки находились абсолютно на своём месте.",615.0,551.0,64.0
"Скоро возглас ""Наших бьют"" будет сопровождаться только позитивнымиэмоциями.",1090.0,906.0,184.0
"А ведь у нас в России полно мест, где нет ни дураков ни дорог.",547.0,483.0,64.0
,,,
"На международном конкурсе йогов уверенную победу одержал старый ИзяРабинович. 75 лет он прожил, затаив дыхание.",491.0,392.0,99.0
"- Девушка, а пойдемте в кино!- А у вас билеты есть?- Нет.- А презервативы?- Есть.- А пойдемте!",571.0,452.0,119.0
Повар студенческой столовой ходит обедать домой.,366.0,304.0,62.0
"- Дорогой, в этом платье я похожа на секс-бомбу?- Пожалуй, больше на секс-петарду: шума много, а реально посмотретьне на что.©",371.0,270.0,101.0
"- Милая, что тебе подарить?- Все равно что, любимый, лишь бы коробка автомат и компьютерная системанавигации!",492.0,412.0,80.0
"Не откладывай на завтра то, что можешь сделать сегодня, может быть,завтра это уже запретят.",633.0,497.0,136.0
"На проходной Кремля висит объявление: ""Отдам в хорошие руки щенкалабрадора. звонить по телефону с гербом, спросить Вову или Люду""",597.0,425.0,172.0
"Жизнь дается человеку только один раз, но зато каким нелепым способом...",489.0,355.0,134.0
"Умирает теща...- Позовите зятя, хочу с ним попрощаться.Забегает зять с бутылкой водки:- Ну что, давай, теща, на посошок.",964.0,691.0,273.0
"- Слышь, братан! У нас в офисе воры! Понимаешь, я каждый вечер ставлюводку в сервант, а она пропадает, ставлю - пропадает, ставлю - пропадает,ставлю - пропадает...- Подожди, Колян, у нас же в офисе нет серванта!?- Как это нет, вот заходишь и сразу стеклянные дверцы...- Колян! Это ОКНО!",667.0,481.0,186.0
"Армянское радио спрашивают:Какая женщина испытала самые тяжкие мучения за всю историю человечества?Армянское радио отвечает:- Мать Карлсона, во время родов.",1338.0,958.0,380.0
"- Давайте-ка, больной, рубашечку померяем. Так, хорошо.В плечах просто замечательно. Рукава, говорите, длинноваты?А мы их аккуратненько сзади завяжем.",843.0,827.0,16.0
"Hовый русский сделал ремонт, приглашает своего друга оценить его.Тот походил по квартире, посмотрел.....Возвращается и говорит:- Все нормально, только во второй ванной у тебя плитка хреновая,маленькая и коричневая.Хозяин:- Ну пошли посмотрим, чем она тебе не понравилась.Заходят они в ванную, хозяин говорит:- Читай, что на плитке написано.Друг читает:- Pentium PRO.",130.0,99.0,31.0
Вышла Василиса Пpекpасная замyж за Ивана Дypака...и стала Василиса Дypак.,159.0,132.0,27.0
"Париж. Командировочный в гостинице пытается уснуть, но голос за стенкоймонотонно бубнит: ``A la crevetka... A la crevetka...`` Не выдержав, онначинает колотить в стену и орать: ``Прекратите! Дайте поспать!``. Оттудадоносится (тоже по-русски): ``Браток, ты по-ихнему понимаешь? Как по-французкибудет раком?``",222.0,184.0,38.0
,,,
"Когда у меня спрашивают возраст, я отвечаю: я настолько старая, что помню, как HR называли ""отдел кадров"".",450.0,407.0,43.0
Нам всё-таки удалось распространить свою идеологию и менталитет на Запад. Теперь и там боятся квитанций за ЖКХ.,653.0,483.0,170.0
сдаеТся срОчно на длитеЛЬный сроК однОкомнатная Студия дЛя прожиАВния кого угодно. Я НЕ националист!,549.0,443.0,106.0
"Кажется, что этот год настолько неудачный, что если купить лотерейный билет, то проиграешь квартиру.",537.0,476.0,61.0
"То, что женщина выбрала мужчину, ещё не значит, что он не окажется виноватым в том, что она его выбрала.",492.0,443.0,49.0
"Если можно аэропортам, заводам и стадионам давать имена великих людей, то почему нельзя давать имена литературных героев? По-моему, “Сколково” имени Барона  Мюнхгаузена звучало бы просто замечательно. А претендентов на имена Иванушки-дурачка или Бабы-Яги вообще пришлось бы определять дополнительным голосованием.",544.0,482.0,62.0
"Надо будет заслать шпиона к Маску и выяснить, кто и как святит его ракеты.",657.0,526.0,131.0
,,,
"- Сёмочка, щастье моё, мы с папой подарим вам на свадьбу трёхспальную кровать.- Мама, зачем нам трёхспальная?- Сёмочка, неужели ты думаешь, шо мама таки бросит тебя одного с чужой женщиной?!",692.0,583.0,109.0
"Мужик останавливает такси:— На Бородинскую, пожалуйста.— Улицу?— Нет, блин, битву. Опаздываю немного.",905.0,814.0,91.0
"- Что такое ухаживание?- Ухаживание – это период, когда девушка решает, удастся ли ей найти кого-то получше.",626.0,579.0,47.0
"Меня спросили, как люди в моей стране смотрят на лесбиянок.Наверное, мой ответ: ""Как правило, в HD-качестве"" - не совсем то, что они ожидали от меня услышать.",423.0,381.0,42.0
"Я всегда встаю на весы с котом. Независимо от результата, кот - прожорливая скотина, а я - молодец!.",581.0,526.0,55.0
"Оказывается, все космонавты дают расписку хранить в тайне, что Земляплоская и не вертится.",896.0,753.0,143.0
- Просыпайся! Обеденный перерыв!- Идите без меня - я сегодня без обеда работаю...,480.0,399.0,81.0
,,,
В продаже появилось новое пиво Базар! Базар бывает фильтрованный и нефильтрованный!,465.0,359.0,106.0
"Май 1945. Берлин. Кризис.- На кого Вы работаете, Штирлиц?- Я вообще не работаю, Мюллер!- Ну, слава богу, Штирлиц! А то мы уж было хотели и Вас сократить!",509.0,384.0,125.0
Оперативному дежурному Управления по борьбе с терроризмом сталипоступать многочисленные звонки взволнованных граждан: “Бандапидарасов захватила здание в центре Москвы!”Прибывшие по вызову бойцы спецподразделения “Альфа” подтвердили:новая Государственная дума собралась на свое первое заседание.,413.0,320.0,93.0
"- Папа, а почему я самолет еще слышу, но уже не вижу?- Звуковая карта тормозит, сынок.",345.0,250.0,95.0
