id,joke,label
100,"- Турист, немедленно отойдите от края пропасти.- Я только пописать.- Тогда можно.",1
101,"В нашем кине сейчас столько звезд и все они настолько яркие, что в этом сиянии ни хера не заметно хороших актеров и актрис.",4
102,"Демократические ценности они как религия.Я не против, что они у вас есть - но пожалуйста, не надо ради них организовывать Крестовые походы и убивать всех несогласных!",4
103,Добрые люди должны уметь постоять за себя... а злые посидеть...,4
104,"В ЗАГСе:- Объявляю вас мужем и женой, чтобы вы жили долго и счастливо и умерли в один день!Новоиспечённый муж:- Ага, и все такие на похоронах: ""Вот это им повезло, как удачно получилось!""",4
105,"К нам привезут десять тысяч угнетенных кенийских негров.Ура! Теперь у нас будут свои афроамериканцы и мы смело сможем бороться за их права любыми демократическими способами!За свои права бороться уже как-то поднадоело, все равно бесполезно...",2
106,"- Чем отличается новый год для детей и для взрослых?- Детям заказывают деда мороза со снегурочкой. А взрослым уже отдельно: папам - только снегурочку, мамам - только деда мороза.",1
107,"Попугай Джона Сильвера, когда на кого-то злился, начинал громко кричать, что отдалённо было похоже на: “Пиастры! Пиастры!“",1
108,Положительным героем этого рассказа является трус.,0
109,"Мало кто знает, но щенки породистых сторожевых собак тоже под санкциями! Вот ведь суки, где я себе теперь друга куплю?",1
110,Таиландский гипнотизёр заставил человека побыть в трансе.,3
111,"-Слыхал? Справедливость есть! МТС, таки, заплатят штраф за необоснованное повышение тарифов!-Справедливость? Штраф то они заплатят государству. А платило то по завышенным тарифам население...",3
112,"Дуэт Ленинграда и Инстасамки будет исполнять песни о том, как можно нахуяриться на чужие деньги.",1
113,"Я сама техаска, дочь морпеха, тут не все так однозначно. Я живу тут 50 лет, никто не голосует за Трампа, просто поверьте.",1
114,В душЕ Владимира Ильича Ленина совесть аж зашкаливала!Из школьного сочинения,0
115,Жена мужу:- Будешь мне изменять - убью.- Будешь мне угрожать - заявлю.,1
116,"Два непрочитанных сообщения:От HR: Пожалуйста, заполните нашу анонимную анкету!От шефа: Помни об анкете! В HR говорят, что из всей нашей команды только ты не заполнил!",4
117,"Поступить в пединститут - пожалуй, лучший способ показать родителям, что ты никогда от них не съедешь.",2
118,Сделал большой словарный запас на зиму. Надеюсь без проблем дотяну с ним до весны. Весной появятся новые слова и останется только собрать их в свой адрес.,1
119,"Поскольку никто не проводил слепых рандомизированных исследований с контрольной и экспериментальной группами и плацебо по применению парашютов, то мы не можем с уверенностью сказать что парашюты работают.",1
120,В небе прогрохотал истребитель-невидимка.,2
121,"– В наших курочках столько антибиотиков, что вам и лечиться не надо будет.",2
122,Теперь я знаю как называется майка алкоголичка у женщин.Это пляжное платье!!!,1
123,— Что буддисты едят на завтрак?— Буддаброт.,1
124,"- Вась, опять квартиру сверху какие-то психи сняли - всю ночь музыку слушают и отплясывают, поди разберись!- Не пойду, Мань, я устал. Тоже спи давай и не обращай внимания.- Ну Вась, ёклмн, ну мужик ты или кто?Тут окно сверху открывается и девичий голос на всю улицу кричит: ""Как же хочется сосать *уй!""- Нет, Мань, ну это уже слишком! Я пошёл разберусь!- Что? Куда, Вась? Никуда ты не пойдёшь! Ложись и спи давай!",4
125,Пожалуй самые традиционные семейные ценности - это деньги,2
126,Этапы суверхуверенности  в себя:1.Торт.2.Император.3.Ватерлоо.,1
127,"- Тебе надо отвлечься, найди себе хобби.- У меня есть хобби.- Есть - это не хобби.",4
128,"После заявления Макрона, что ""дело Дурова не политическое"", Дуров точно понял кого он первого забанит в Телеграм",2
129,"Из разговора пенсионеров:- Какая у вас пенсия?- Слезы.- Понятно, а как жизнь?- Смех.",2
130,"Хватит уже воспринимать соцсети всерьёз - большинство лайков вам ставят те, кто сидит на унитазе...",4
131,"Почему умные никогда не спрашивают о разнице между дураками и умными?Потому что дураки уже всё знают!!""Школа искусственного юмора БотGPT-4""",1
132,"В Америке сейчас три главные интриги: доживет ли Байден до конца своего правления, доживет ли Трамп до начала своего правления, доживет ли США до конца правления одного и другого.",4
133,"Лет 25 назад, теледикторша то ли 1-го канала, то ли НТВ в новостях вместо Климовск сказала, я сам слышал, ""подмосковный климакс"". Сбылось.",2
134,"- Ты почему получил единицу по математике? - рычит отец.- Наверное, у учителя не было крупных, - отвечает сын.",2
135,"- А помните истории, где на какого-то ребёнка вылилось кипящее масло.- Бесплатно. Да, умели люди раньше красиво жить.",1
136,Люблю вести ночной образ жизни. Особенно поспать.,2
137,Вся финансовая система мира держится на Экселе!,2
138,"Пароль, придуманный Петровичем, содержал формулу высшей математики.Лошхи-хакеры плакали, давились, но средний интеллект айтизадрота был много ниже.",1
139,"Современные исследования советских вирусологов показывают, что ЛГБТ заражение может происходить воздушно-капельным, фекально-оральным, контактно-бытовым и трансмиссивным путём. Поэтому настоятельно рекомендуется избегать территории скопления предствителей ЛГБТ сообщества.",1
140,"""Смотаемся на пару недель в космос и айда обратно домой"", - весело сказал один американский астронавт другому.",4
141,"- В общем, переезжай ко мне, мой квартиру, готовь еду, не забывай зарабатывать на себя, на меня и терпеть все мои закидоны.- Ну и зачем мне всё это нужно?- Ладно, пойдём длинным путем. Любимая, я подарю тебе луну и звёзды...",4
142,"Разговор двух проституток в борделе:- Анжела, а что у тебя было сегодня на завтрак?- Да я уж и не помню: то ли хлеб с маслом, то ли xyй с яйцами.",1
143,"Разговаривают два грузина.- Слюшай, Гиви, я подругу потэрял.- А что, поссорились?- Нэт. Пожэнились.",4
144,"Микробы в Сене в Париже вышли с лозунгом, что говно должно плавать в чистой в воде, а не в нашей, проверенной годами, микрофлоре.",1
145,"-Слыхал? Организаторы олимпиады опасаются. Их грозят убить!-Не , как оскорбить чувства около миллиарда верующих, так можно...-Ну... Даже если так. Они же только оскорбили! А их угрожают УБИТЬ!!!-Ну так ить... Только угрожают...",1
146,Развитие нашей экономики должно проводится с ускорением. С ускорением свободного падения.,1
147,"- Здравствуйте, мы хотим приехать на ваш фестиваль, вы принимаете детей от 2 до 7 лет?- Нет, только оплату картой или наличными.",4
148,"– Сплошное разорение у стриптизёрш: сначала деньги в трусики собирают, а потом забывают трусики, неизвестно где.",1
149,"Пациентка:- Вы знаете, у меня чешется и болит жопа.Арт-терапевт:- Давайте рисовать вашу жопу.Провокативный терапевт:- Будешь ныть, еще получишь!Психоаналитик:- Ничего страшного, это распространенное явление. Мы со временем разберемся, откуда у вас появились эти ощущения. Расскажите, в каком возрасте у вас впервые появились мысли о жопе?Гештальт-терапевт:- Расскажите подробно, что вы чувствуете прямо сейчас, когда говорите это? Не сдерживайте своих эмоций.Экзистенциальный психотерапевт:- Вы испытываете страх смерти из-за этого?Экзистенциально-гуманистический психотерапевт:- Что вы чувствуете, проживая эти ощущения в моменте?Йоготерапевт:- Это не проработанная корневая чакра! Сядь в позу лотоса. Закрой глаза. Глубокий вдох, медленный выдох. Сфокусируй внимание на своей жопе. Направь свое дыхание в нее. Дыши жопой.Гипнотизер:- Спааать! У вас больше не чешется жопа!Психотерапевт по методу расстановок:- Вот этот человек - ваша жопа. А вот этот - жопа вашего прадедушки. Обнимите их и поплачьте вместе.Тренер личностного роста:- Выйди из зоны комфорта! Оденься как трансвестит, подойди к трем прохожим и попроси их почесать тебе жопу!Коуч:- А как бы тебе хотелось, чтобы себя чувствовала твоя жопа в будущем? Какой результат тебе скажет, что этого удалось добиться? Как ты поймешь это?Женский коуч:- Ты Богиня! Сиди на жопе и повторяй за мной: ""Я Богиня! Я Богиня!"" Это твой мужчина виноват, что у тебя чешется и болит жопа. Ты достойна лучшего!Психиатр:- Сестринская? Ивановой антипсихотики внутримышечно не колоть, будем прокапывать. И это, подмойте ее там. Вот же случай, анекдот из жизни - с проктологией по психологам ходила... Как будем выписывать - дам направление к колопроктологу.",2
150,"- Когда я слышу, как из какого-нить авто звучит негрский рэп, мне всегда хочется спросить этого, блин, эстета...- Даже знаю что: ""Ты на хрен это врубил на всю ивановскую?""- Неа... ""У тебя чё в школе по-английскому было, дятел?""",1
151,"Смотреть по ТВ спортивные чемпионаты и турниры, откуда нас выгнали - все равно что подсматривать за чужим корпоративом с улицы через окно. Или расчёсывать свое либидо, подсматривая за бабами через щель в женской бане...",2
152,Виталий. Мне 59. Набираю учениц от 20 до 45 летна бесплатные курсы пиления.Количество мест ограничено.Может кому-то надо...,0
153,"Ты ведь знаешь, что ничего не изменится, но почему-то всё равно продолжаешь ждать.",1
154,"- Мой внук, наверное, инженером будет.- С чего это ты так решила?- Он всегда сигаретку сперва разберёт аккуратненько, потом обратно соберёт, закурит и ка-ак задумается...",3
155,Казнить немедленно! Но медленно!,1
156,"Нельзя так к еде относиться. Лису еще не доели, а они уже волка из морозилки вытащили, размораживают…",0
157,"У каждого из нас есть своя сказка о себе, которую мы с упоением рассказываем вновь и вновь",0
158,"Идёт мужик, видит - перед ним табун коней.Кони: - Пересчитай нас, мужик.Мужик: - Вас каждого по одному.",1
159,"Если из вас не смогли сделать дуру, готовьтесь к тому, что вас назовут сукой..",4
160,"Воскресенье. Семья выходит из храма.Мама: - Что-то скучно сегодня было!Папа: - И хор плохо пел!Сын: - А вы что хотели за те 10 рублей, которые в кружку кинули?",4
161,"- Дорогой, твоя секретарша молодая и красивая?- Да, ну и что?- Сука.- Почему, ты ведь ее даже не знаешь?- А ты — кобель.",1
162,"После визита на Кубу российской подводной лодки ""Казань"", в США стала суперпопулярной песня певца ""Профессора Лебединского"" :""Я убью тебя, лодочник"" !",0
163,"Жена - мужу (приготовившись есть окорока):- Скажи мне, что я жирная корова!- Ты жирная корова!- Идиот!!! (Убегает в слезах.)",1
164,Поцелуй эмблемы клуба только что подписанным легионером имеет много общего с поцелуем клиента оплаченной проституткой. Оба это делают за дополнительное вознаграждение...,1
165,"Того кто написал :""Так, ребята, сейчас будут подходы на трицепс с пельменями в еврофуру на третьих воротах""Необходимо немедленно отправить загружать фуры.Что бы он наконец таки узнал, что при закрузке фуры работают бицепсы, и поясничные мышцы. Ну и еще квадрицепсы бёдер и предплечья.Ну вот НИКАК не трицепсы !!!",2
166,"Удивление тому, что полицейские выполнили свои обязанности - это лучшая оценка населением доверия к работе полиции.",2
167,"привет, это я Паша Дуров, я пишу со своего секретного аккаунта, пришли 5 млрд € хомяками на залог, отдам через неделю",2
168,"Всё идёт к тому, что на олимпиаде в Париже победители будут платить побеждённым за моральный ущерб.",4
169,"Алкоголь полезен сразу в двух отношениях: он делает некрасивую женщину более привлекательной, если пьет мужчина, а привлекательную женщину - более доступной, если пьет она сама.",4
170,Умер от острой сердечной недостаточности ... т.е. сердечности не хватило ...Мораль - нужно быть сердечнее к людЯм ...,1
171,"-Теперь судебные приставы имеют право отстреливать должников!-Нууу... Правомочность применения оружия приставом будет устанавливать суд...-Уверен, что есть хоть один судья, у которого в родне нет должников?",1
172,Пышные полногрудые актрисы зачастую сводят зрителей с ума. Но не как актрисы...,1
173,"Дальновидный губернатор, приходя к власти, первым делом строит хорошую тюрьму!",2
174,"Батюшка уже почти исполнил просьбу Настеньки и вёз ей аленький цветок. Однако, Госнаркоконтроль пресёк попытку провоза опиумного мака  и оштрафовал его на пять МРОТ.",2
175,"-Тут рекламу видал. На первом же уроке-ты заговоришь на английском. Врут, поди...-Ну, почему. Вот ты ""факнуть"" кого, можешь? А имя своё на аглицком сказать?-Ну.-Вишь? Ваааще без уроков. Просто в рекламе не говорят, что заговорить и разговаривать...не много разные вещи",1
176,"Огромный плюс бисексуальной жены - с ней можно совершенно спокойно обсудить какую-нибудь сексапильную дамочку, находясь при этом, так сказать, с одной стороны баррикад.",1
177,Людям с вечной улыбкой на лице  хочется больно наступить на ногу.,1
178,"Почему пиво? Есть КПРФ - партия любителей прошлого, ""Единая Россия"" - партия любителей власти, ЛДПР - партия любителей Жириновского... Пиво намного надёжнее! Оно не подведёт, потому что вечно.© Константин Калачев, Генеральный секретарь Партии любителей пива",2
179,"По результатам опроса, в котором предлагалось заполнить пропуск в слове «Х.Й», выяснилось, что самые культурные люди ­— это панки.",4
180,Жена говорит Мужу:Дорогой я хочу убрать два плохих слова из нашей семьи бл*ть и нах** Муж: так какие слова ты хотела убрать?,2
181,"- Слушай, ты знаешь такого актера - Ткачук?- А, это которого на перевозке наркоты прихватили?- А актрису Бочкареву?- Та, что кокаин в труселях возит?- А Николаева знаешь?- Что в гаишника въехал?- Прилучный?- Жену пьяный отлупил.- Башаров?- Вообще всех жен молотил.- Про Ефремова боюсь спрашивать. Епифанцев?- Кликуха ""Грибоедов"". Большой любитель мухоморов.- А ты, я погляжу, шаришь в отечественном кинематографе...",3
182,"Как же бесит, что единственный способ что-то сделать - это взять и сделать это.",4
183,"Достиг того возраста, когда вместо хуя может встать сердце.",4
184,"Скажите, как записать человека в преемники главы Хизбаллы? У меня есть несколько подходящих кандидатур.",4
185,"Вечер, обычная семья. Мама раскладывает пюре по тарелкам. Спрашивает:- Дочуля, тебе сколько ложек накласть?Дочь с неподдельно изумлённым видом:- Говна, что-ли?",1
186,"""коровы выделяют парниковые газы, вызывая глобальное потепление."" Я думаю, что динозавры вымерли не из-за падением астероида, а из-за глобального потепления. Напердели на свою погибель.",1
187,"Подрыв пейджеров - это не только теракт, но и цифровая контрреволюция...",1
188,Мать всех японцев - Япона мать!,0
189,"Бывший военный моряк, а ныне успешный предприниматель, с гордостью называет себя ""Старшина 159-й статьи"".",3
190,В США педофил изнасиловал и убил ребёнка. За это суд приговорил его к пожизненному заключению. Осуждённый подал апелляционную жалобу с просьбой сократить ему срок отсидки. Суд пересмотрел его дело и сократил ему срок отсидки до 1 минуты! На электрическом стуле...,2
191,Девочка: фотографируется в нижем белье для соцсетей и сайтов знакомств.Женщина: фотографируется в нижнем белье для маркетплейсов.,1
