joke,total_votes,positive_votes,negative_votes
"Несмотря на солнечный, лунный, восточный календари и разные гороскопы снова наступил год медведя.",29.0,10.0,19.0
"- Барашек... - хищно ухмыльнулись гномы, увидев в подземной галерее нечто с рогами.- Поросята... - облизнулся Балрог, доставая огнемет и шашлычницу.",28.0,9.0,19.0
Как прошла вечеринка Ивлеевой?Почти как оргия в древнем Риме.А почему почти? Голые скакали а группового секса не было.,28.0,9.0,19.0
Как молодому и талантливому певцу попасть в Голубой Огонек?Снять клип в одном носке и с павлиньим пером в заднице.,23.0,7.0,16.0
"Штирлиц! Мы знаем о Вас всё! Это Вы перед самым Новым годом вскрыли сейф, спёрли оттуда и сожрали всю икру и выпили всё шампанское.",28.0,6.0,22.0
"Фармация и пищевая индустрия эффективно пользуются тем, что в желудке есть соляная кислота. Индустрия же красоты такой роскошью похвастаться не может. Поэтому жрём мы всякую дрянь, зато на кожу мажем натуральные компоненты. Ну, условно натуральные...",18.0,6.0,12.0
"Разработка значков с символами, отличными от знаков зарегистрированных Минюстом организаций, приводит к наступлению незапланированной ответственности по УК РФ.",18.0,5.0,13.0
"Ужас пожилой дамы лёгкого поведения:В самый неподходящий момент проглотить не то, что  хочет клиент, а свои вставные зубы.",41.0,4.0,37.0
Актуальный палиндром:На пати Лолита - пан!,34.0,4.0,30.0
"История показывает, что яйца бывают 2-х видов: дружественные и наоборот.",16.0,4.0,12.0
"Попав в клинику понял: нигде нет столько знающих и раздающих советы о здоровом образе жизни и о правильном питании людей, как в больничной палате.",350.0,303.0,47.0
"В Новом году нам нового счастья не надо, оставьте хотя бы то, что было у нас раньше.",290.0,232.0,58.0
"В русском языке появилось слово, одновременно отражающее и процесс, и отношение населения к его инициаторам - ПИДОРОЖАНИЕ.",269.0,148.0,121.0
"Когда проходит эта тонкая временнАя грань между ""всё ещё будет"" и ""всё уже было""?",182.0,119.0,63.0
"- Что такое секс?- Это то, на что уходит меньше всего времени и больше всего денег.",174.0,83.0,91.0
"- Ты куда вечером опять ходил!!? В бордель?!- ты что! на спектакль, ""спящая красавица""- да да, знаю, ""со всеми спящая красавица""",187.0,72.0,115.0
"Самые красивые девушки появляются там, где народы ебутся, а не воюют!",91.0,68.0,23.0
"По заявлению пенсионера Стукачева, на браузер Chrome заведено уголовное дело о распространении наркотиков. В контекстном меню обвиняемого бдительным гражданином были обнаружены закладки.",198.0,64.0,134.0
"1. Сплю весь день.2. Резко встаю.3. В глазах темнеет.4. О, уже стемнело, можно идти спать!",155.0,59.0,96.0
"- У меня только четыре руки, а не десять, -  жаловался, заваленный работой, Вишну.",138.0,54.0,84.0
"Чтобы исправить всю ту херню, которая сейчас происходит, я решил отправиться в далёкое прошлое и отменить создание нашей Вселенной.",181.0,50.0,131.0
"-""Как вы это едите? Это же вредно!""-""Не понимаю, зачем вы это купили. От этого пользы-""0""!!!""-""На вид, конечно, вкусно, но знали бы вы ЖБУ этого блюда!!!""-Маша!!! Выведи свою подругу на кухню, задай ей там овса с водой и пусть там всю Новогоднюю ночь мычит и блеет от счастья..",63.0,48.0,15.0
"Ничто так не выдаёт желание познакомиться, как отсутствие шапки в мороз.",149.0,45.0,104.0
"Если бы каждый стал класть надрезанный лимон в холодильник, в мире стало бы чуточку больше добра. Ведь далеко не у всех в этом мире сейчас есть холодильник и лимон.",152.0,42.0,110.0
"- Здравствуйте Изольда Леопольдовна! Ой а вы своего Святозарчика всё на английский водите? А мы своего внучка уж полгода как на китайский переписали... ибо знаете что?- Что?- Ну его нахуй вот что- Может нихау всё же, Элоиза Бертолетовна?- Может и нихау...",61.0,40.0,21.0
"Тааак достала своего препода по философии своими вопросами и размышлениями, что он просто умолял меня согласиться на ""5"" и не приходить на экзамен.",46.0,38.0,8.0
"Рай американский -это жить в своём доме и чем дальше соседи, тем лучше.Ад - жить в многоквартирном доме.Российский райЖить в своей квартире!Жить в своём доме - ад!Японский ад- находится во время землетрясения в бетонно-кирпичном помещении.Рай - находится в деревянном каркаснике,  который попрыгал во время землетряса и продолжает стоять.",47.0,29.0,18.0
"Странно, но в немецком языке нет слова ""запой"".",37.0,25.0,12.0
К пьяному мужику подходит бандюган с ножом:- Кошелёк или жизнь!Пьяница:- Вы финансовый директор платной клиники?,31.0,19.0,12.0
"Мы покупаем дорогие лекарства. Хотя аналоги стоят до 30 раз дешевле. Состав одинаковый. Так где же, после школы мы свернули не на ту дорогу?",36.0,19.0,17.0
Массажистки любят скорострелов.,37.0,18.0,19.0
"Перепись населения в 2027 году.98 процентов населения России сказали что они атеисты,  Православные атеисты!* Православные священники уже сейчас говорят,  что минимум 97 процентов всех крещённых в ПЦ де-факто нехристи - ничего не разумеющие и знать не желающие,  считающие что за свечки они Рай купят!",33.0,17.0,16.0
"Валера понял, что ещё совсем молод, когда его назначили младшим менеджером, а ему 39.",24.0,16.0,8.0
"Это вам не голая вечеринка! ""В США новогодняя вечеринка завершилась стрельбой и жертвами""",30.0,14.0,16.0
"Лолиту Киркорову вырезали из телевизионной версии ""Пенсии года"".",25.0,13.0,12.0
"... руководство английского клуба ""Бирмингем"" приняло решение уволить Уэйна Руни с должности главного тренера команды.Руни  - хороший игрок, был.с какого перепугу он стал тренером.хороший токарь, не значит, будет хорошим директором предприятия.",23.0,12.0,11.0
Многостадальность народа определяется его мудростями.,21.0,12.0,9.0
"Новость ""Компания РЖД планирует обозначать беспилотные поезда отдельным цветом"". Наверное, по результатам испытаний выяснили, что 49 силуэтов бабушки нарисованных под стеклом кабины машиниста 50-я бабушка разглядеть не успела...",21.0,11.0,10.0
Когда Штирлиц перед Новым Годом взломал сейф Мюллера то обнаружил там только пустые банки из под икры пустые бутылки из под шампанского и мужика в грязной футболке который потребовал у него миллиард,33.0,11.0,22.0
"Канцлер Германии Олаф Шольц можетдосрочно покинуть свой пост в 2024 году на фоне падения доверия ...у коммунистов научились, четырехлетку за 3 года.",36.0,11.0,25.0
"В этом году у тебя всё получится…также , как в предыдущем!",19.0,11.0,8.0
"Не падай духом в новогодний оливье, дождись рождественского!",21.0,11.0,10.0
"- Дедушка, а ты хочешь быть как крейсер Аврора?- 125 лет трудового стажа, а потом еще экскурсии принимать?- Нет, таким же смелым и отважным!",30.0,11.0,19.0
"-Слыхал? Саудиты, таки, вступили в БРИКС!У разработчиков расширенного названия организации отлегло от сердца. АРгентину сменят на АРавию...",25.0,10.0,15.0
"Участников ""голой"" вечеринки просто не поняли!Они демонстрировали стойкость наших граждан к возможным усилениям санкцийдо такой степени, когда уже нечего будет надеть!",25.0,10.0,15.0
"Когда 104 гроссмейстера и мастера спорта по шахматам за сутки поменяли гражданство, то надо или менять шахматные правила, или сбрасывать им коэффициент ЭЛО до нуля.",31.0,9.0,22.0
"Процедура омоложения – Банный чан для парения: человек добровольно залезает в чан, снизу огонь. Тут начинается русская рулетка: кто-то из чана вылезает омолодившимся, а кто-то – «Бух в котёл – и там сварился!»",29.0,8.0,21.0
"Сериал ""Доктор Преображенский"". Краткая аннотация. Секса в стране не было — а почитание девственности было. Красивой одежды не было — шили из чего могли. Революционеров не было — а революции делали. И еще, красоты хватало, но хирурги ее делали еще лучше!",24.0,7.0,17.0
"Никогда еще российские бездомные не жили так хорошо.Пока вся страна под санкциями одевается в Китае, БОМЖи носят брендовые европейские шмотки Секонд-Хенда.",25.0,6.0,19.0
Однажды Чак Норрис забыл взять билеты в театр. И взял театр.,25.0,5.0,20.0
"В Якутии стали штрафовать за тройное остекление, если на одном из них нет следов Деда Мороза.",24.0,4.0,20.0
"Учитель - это уникальная профессия уникальных людей. Если учёный видит дебила, то он его просто выкидывает из своего круга - глупо тратить на него время. Если администратор видит дурака, то он его запрягает максимально работой на себя - дурак дан природой для того, чтобы ездить на нем. И только учитель пытается сделать из дебилов и дураков какого-то приличного человека, убивая на это собственную жизнь.",615.0,512.0,103.0
"Через неделю после репатриации Абрамович был вынужден продать ""Челси"".Это всё, что надо знать о ценах в Израиле.",562.0,465.0,97.0
"- Ну что, ты был в этом году хорошим мальчиком?- Да, Санта Клаус!- Я не Клаус, я Пётр.",432.0,322.0,110.0
"- Здравствуй, страшное чудище! Я пришёл сражаться с тобой и спасти прекрасную принцессу!- Но ведь я и есть прекрасная принцесса!- М-дя... Неловко как-то получилось...",378.0,315.0,63.0
Губки для мытья посуды разноцветные - чтобы ты не грустил.,331.0,270.0,61.0
"Большая, тёплая, пахнет молоком - мама.Большой, тёплый, пахнет потом - папа.Большие, тёплые, пахнут счастьем - мама и папа встречают новый год.",431.0,238.0,193.0
Накануне Нового года захожу в магазин и понимаю — люди целый год не ели…Или едят в последний раз!,301.0,237.0,64.0
"Что вы всё заладили: ""голая"" вечеринка,""голая"" вечеринка! Обычный киркоратив.",270.0,173.0,97.0
"- Чем больше тюнинга - тем дороже содержание. И к женщинам это относится больше, чем к автомобилям...",220.0,166.0,54.0
- А змеи пьют кожей.- Так вот что они делают в бутылках с китайской водкой!,172.0,115.0,57.0
"Десятилетний сын: мама, а что такое метафора?Мама: ""Моя жизнь - это катастрофа!""Сын: это я знаю, я спрашивал, что такое метафора!",197.0,110.0,87.0
"Был маленький - за что только он меня не хватал и не таскал: за нос, за уши, за волосы, за бусы, за сережки...Вырос, теперь я хочу с любопытсвом потрогать и потаскать его за бороду и за усы. Не дает! Говорит: нарушение личного пространства!",186.0,58.0,128.0
"Пионер прочитал книгу и воскликнул: «Интересно и познавательно!»Пенсионер прочитал ту же книгу и сказал: «Интересно, но поздновательно».",165.0,48.0,117.0
Лучшее пожелание консультантам на новый год: Пусть чужие плохие проблемы превращаются в ваши хорошие деньги!,126.0,41.0,85.0
"- Итак, подсудимый, как Вы объясните то, что все прежние статьи у Вас были за кражи, ни одного грабежа или, тем более - разбоя, но этот раз вы задушили несчастную пенсионерку?- Все так, Ваша честь. Я проник в дом этой пожилой леди, поживился, чем собес послал по сервантам и комодам и уж хотел уходить, как, вдруг, обнаружил шкатулку, на крышечке которой была записка: ""Вскрыть только после моей смерти"".- Ну что ж, подсудимый, старость нужно уважать. Невиновен!",301.0,41.0,260.0
"Диалоги о здоровом образе жизни в нашем поселке разделили аудиторию на два пути: ""водка-селедка"" и ""виски-кола"".",117.0,38.0,79.0
"-Почему в стране всё больше разводов?-Потому что в ЗАГСе теперь не ЛЮБЯЩИЕ ЛЮДИ создают СЕМЬЮ, а ПАРТНЁРЫ узаконивают ОТНОШЕНИЯ...",58.0,38.0,20.0
"Винни-Пух питал нежную и трепетную любовь к медосмотрам. Он знал, что они никак не связаны с мёдом, но всякий раз втайне надеялся…",44.0,31.0,13.0
"Если  ты хочешь, чтобы все было честно и без обмана, то не надо обманывать.",38.0,31.0,7.0
"Парень девушке:- Я у тебя какой по счету?- Первый, первый.- Одиннадцатый, что ли?",38.0,26.0,12.0
"- Вы зачем на вечеринку пришли голым, в одном носке?- Хотел свою голую задницу показать Киркорову.- Зачем?- Ну а вдруг?",59.0,23.0,36.0
"- Скажи, Гиви, трудно с двумя женщинами сразу?- Когда как. Тут все от первой зависит.",39.0,23.0,16.0
"Активный трындеж о здоровом образе жизни рождает не только сексапильных красоток в фитнес-центрах, но, к сожалению, и  побочку - бесполых условно разумных существ, бегающих по ""ярмаркам товаров для здоровья"" и исступленно проповедующих целебность, скажем, живительных биофлавоноидов из пчелиного помета, целебного отвара из горного лопуха или дарующей молодость вытяжки из раковин моллюсков, проплывавших над местом силы.",39.0,21.0,18.0
"Как полет первого самолета был длиной с размах крыльев Боинга, так и первый компьютер моей жизни решал квадратное уравнение с минуту.",33.0,20.0,13.0
Почему наши звезды и звездуны не встречали Новый Год за границей ну хоть в Италии?В Италии по традиции в Новый Год старье выбрасывают с балконов.,31.0,17.0,14.0
"Раньше трудно было уехать на ПМЖ туда, зато легко вернуться. Теперь наоборот: туда уехать на ПМЖ легко, но затруднительно вернуться.",30.0,15.0,15.0
"Как мне современная реклама детскую песенку напоминает!""А еще от хвастовства ква-ква-ква, не поможет твой товар злой, противный Дуремар!"" Речь шла о пиявках, а ныне эта песенка касается любого лекарства.",26.0,15.0,11.0
"Судя по землетрясению, цунами и сгоревшему самолету, год начался с новостей, а че там в Японии",29.0,14.0,15.0
"Дочь спортсменка приходит домой полуживая, но с деньгами. Мать:- Откуда деньги?Дочь:- Марафон выиграла.Мать смотрит на дочь грозным взглядом, и спрашивает:- Марафон, это куда?",48.0,11.0,37.0
"В день знаний алкоголь(по указу) в большинстве магазинов не продают,представьте,что было-бы,если бы Пётр 1 не перенёс в 1699 г.Новый год с 1 сентября на 1 января...",18.0,8.0,10.0
"- Рабинович, слышали? Юрий Лоза НАМЕКНУЛ на бессмысленность текстов  Долиной и Билана...-Таки, и какой в этом намекёкивании смисл? Шо Долина спец. представитель президента?",29.0,6.0,23.0
"- Какую сумму ты готова потратить на исполнение своих мечт?- Миллион!- А, если, реальная сумма?- Сто миллионов!(с) Юрий Тубольцев",36.0,5.0,31.0
Разговор с волшебником:- Хочу миллион!- Получай!- А можно как-то отменить свое желание? Хочу сто миллионов!(с) Юрий Тубольцев,31.0,5.0,26.0
"Чудо лекарства, эликсир здоровья и кремлёвские таблетки ищут те, кто вовремя молодильные яблочки не купил.",15.0,5.0,10.0
"Полезные советы:Что делать, чтобы Ваши милые пёсики и сучки не замёрзли в собачий холод.А если всё равно замерзают, может Грета Тунберг поделеится глобальным потеплением?",35.0,5.0,30.0
Врач говорит больному:ПлЕши - это был не лишай!,29.0,1.0,28.0
"– Маш, привет, ты откуда?– Да с новогоднего корпоратива.– В феврале!– Ну, давай, ты меня ещё задержи...",425.0,366.0,59.0
"В ЗАГСе:- Брачующийся! Готов ли ты быть вечно без денег, друзей, виноватым, обязанным и голодным, пока свидетельство о смерти не разлучит вас?",403.0,297.0,106.0
"«Хорошо там, где Насть нет», — вздыхал Филипп Киркоров.",350.0,241.0,109.0
Для пополнения набора поз Камасутры не требуется особой фантазии. Достаточно слишком короткого дивана.,216.0,169.0,47.0
"Вскрытие — единственное обследование в этой стране, которое вам проведут без направления, без ожидания, и поставят точный диагноз.",282.0,151.0,131.0
"Однажды я пыталась похудеть, сфоткала ""до"", а потом ещё сильнее растолстела, получилось ""до-до"".",193.0,126.0,67.0
"Самая гуманная нация - советский народ. Они даже деревья зимой домой берут и рыб в шубы одевают, чтоб те не замерзли.",266.0,121.0,145.0
"2024 год. Город Урюпинск. Объявление в ночном клубе: Сегодня состоится премьера новой музыкальной шоу-программы ""Спокойной ночи, голыши!"". Ведущий программы - Филя Киркоров.",248.0,94.0,154.0
"- Эх, сладки гусиные лапки!- А ты едал?- Нет, сам не едал, но мой дядя видал, как наш барин едал...",226.0,70.0,156.0
"На школьном корпоративе географ пропил глобус, учитель пения – гармошку, физрук – коня, а историчка – репутацию.",194.0,66.0,128.0
"Проверьте колодки. Это был тест на то, автомобилист вы или идёте этапом.",211.0,61.0,150.0
"- Женщина, тебе нравятся голые мужчины в носках?- Нет.- А так?- Гиви, в одном носке ты похож на полудурка.",212.0,47.0,165.0
Сбывается прогноз Вильфанда о тёплом январе.То же будет с ценами на яйца,46.0,30.0,16.0
"Лиса – Волку:– Волк, почему люди нас сажают в клетки без суда и следствия?– Наверно, потому что люди придумали, что  мы  – звери.",41.0,25.0,16.0
"С годами у Дега развивалась слепота, у Ренуара был ревматоидный артрит, у Ван Гога — эпилептический психоз, а на современных художниках пахать можно.",36.0,24.0,12.0
Магазины сети «spar» в народе называют просто: «срач».,44.0,19.0,25.0
"В Казахстане за неуплату задолженности оператором отключили «Первый канал»! А в России телезрители сами оплачивают просмотр телеканалов...Получается, что за наш  счёт казахи смотрят наше ТВ?",36.0,17.0,19.0
"– Как только перестал их кормить, собаки меня сразу перестали любить.– Так собаки любят не за еду...– Я не о хвостатых собаках говорю.",29.0,13.0,16.0
"Очень трудно сделать свой выбор из двух зол, если дрова плохо горят.",28.0,11.0,17.0
Непосредственно после нового года наблюдается повышенный расход туалетной бумаги. Сегодня вообще осталось всего лишь на одну посрачку.,41.0,10.0,31.0
"- Девушка, а можно с Вами познакомиться?- Вот что из этого получится!И девушка показала молодому человеку задницу.(с) Юрий Тубольцев",56.0,5.0,51.0
Кошка валит ёлку так как ревнует ее к вашим игрушкам!,19.0,5.0,14.0
"Мало кто знает, но щенки породистых сторожевых собак тоже под санкциями! Вот ведь суки, где я себе теперь друга куплю?",26.0,5.0,21.0
"– У тебя, вообще, стоит?– Стоит.– Что-то давно не видела.– Пойдём к соседке. Покажу.",459.0,349.0,110.0
"Из-за более высокого рейтинга на Старый Новый год покажут «Голую вечеринку», а не «Голубой огонёк».",326.0,210.0,116.0
"Габровские парни встречаются только с девушками своего подъезда.Их не нужно провожать, а если женишься — перевозить мебель.",264.0,194.0,70.0
"Как шутят американские железнодорожники - ""Любой поезд, доехавший до конечной станции, теперь считается - скорым"".",325.0,156.0,169.0
"- Господи, за что Ты обрёк меня на такую страшную смерть? Три часа ужасных мучений, напрасное ожидание Скорой, которая так и не приехала - за что?- Ты ведь при жизни был директором муниципального пассажирского автотранспортного предприятия? Так тебе ли роптать из-за долгого напрасного ожидания?",239.0,147.0,92.0
Важнейшее достижение социализма состояло в научной организации сизифова труда.,332.0,124.0,208.0
"Что ждёт нас в 2024 году.- Новые знакомства.- Интересные путешествия.- Хорошие люди.- Увлекательные истории.- Яркие эмоции.Судя по первым буквам, вполне правдоподобно.",242.0,123.0,119.0
"Россия - единственная в мире страна, где при тридцатиградусных морозах жалуются на коммунальщиков из-за жары в помещениях.",322.0,119.0,203.0
"- Мой пёс не кусается, если его не спровоцировать!- А что его провоцирует?- Люди в синих куртках, звук проезжающих авто, некоторые запахи людей, ещё точно не знаем, какие именно...",181.0,87.0,94.0
"— Гоголь-моголь! — дразнили писателя уличные девки, провоцируя на брань.— У, близдиканьки! — только и отвечал Гоголь.",268.0,76.0,192.0
"- Мир вертят оптимисты!- Мир вертят пох*исты. И мы все знаем, на чём именно они его вертят.",178.0,63.0,115.0
"С глубоким воодушевлением восприняли российские пенсионеры покупку ""Зенитом"" очередного бразильца из ""Флуминенсе"" и выразили готовность к дальнейшим неограниченным повышениям тарифов на газ!",77.0,61.0,16.0
